执行顺序,动作,点编号,X,Y,元件ID
1,P,1,5.0,0.0,87
2,M,87,279.0,295.0,87
3,P,28,275.0,0.0,55
4,M,55,273.0,132.0,55
5,P,27,265.0,0.0,86
6,M,86,262.0,171.0,86
7,P,29,285.0,0.0,24
8,M,24,288.0,179.0,24
9,P,30,295.0,0.0,81
10,M,81,290.0,32.0,81
11,P,30,295.0,0.0,59
12,M,59,291.0,99.0,59
13,P,30,295.0,0.0,84
14,M,84,265.0,255.0,84
15,P,27,265.0,0.0,45
16,M,45,265.0,247.0,45
17,P,24,235.0,0.0,6
18,M,6,239.0,25.0,6
19,P,25,245.0,0.0,42
20,M,42,236.0,118.0,42
21,P,24,235.0,0.0,73
22,M,73,234.0,44.0,73
23,P,23,225.0,0.0,66
24,M,66,222.0,120.0,66
25,P,22,215.0,0.0,89
26,M,89,216.0,154.0,89
27,P,22,215.0,0.0,60
28,M,60,213.0,76.0,60
29,P,12,115.0,0.0,99
30,M,99,113.0,183.0,99
31,P,7,65.0,0.0,94
32,M,94,156.0,263.0,94
33,P,16,155.0,0.0,64
34,M,64,168.0,168.0,64
35,P,17,165.0,0.0,43
36,M,43,163.0,149.0,43
37,P,15,145.0,0.0,63
38,M,63,141.0,164.0,63
39,P,13,125.0,0.0,58
40,M,58,163.0,242.0,58
41,P,17,165.0,0.0,88
42,M,88,164.0,166.0,88
43,P,14,135.0,0.0,11
44,M,11,135.0,146.0,11
45,P,11,105.0,0.0,33
46,M,33,106.0,200.0,33
47,P,10,95.0,0.0,31
48,M,31,101.0,261.0,31
49,P,5,45.0,0.0,76
50,M,76,43.0,52.0,76
51,P,2,15.0,0.0,77
52,M,77,11.0,99.0,77
53,P,1,5.0,0.0,91
54,M,91,12.0,130.0,91
55,P,1,5.0,0.0,22
56,M,22,10.0,270.0,22
57,P,3,25.0,0.0,54
58,M,54,25.0,201.0,54
59,P,5,45.0,0.0,32
60,M,32,49.0,87.0,32
61,P,7,65.0,0.0,100
62,M,100,177.0,243.0,100
63,P,13,125.0,0.0,38
64,M,38,121.0,213.0,38
65,P,12,115.0,0.0,95
66,M,95,113.0,23.0,95
67,P,10,95.0,0.0,79
68,M,79,92.0,8.0,79
69,P,6,55.0,0.0,2
70,M,2,248.0,276.0,2
71,P,27,265.0,0.0,35
72,M,35,262.0,40.0,35
73,P,29,285.0,0.0,12
74,M,12,285.0,225.0,12
75,P,29,285.0,0.0,80
76,M,80,278.0,162.0,80
77,P,28,275.0,0.0,96
78,M,96,277.0,131.0,96
79,P,28,275.0,0.0,37
80,M,37,275.0,85.0,37
81,P,26,255.0,0.0,98
82,M,98,252.0,119.0,98
83,P,26,255.0,0.0,97
84,M,97,246.0,245.0,97
85,P,25,245.0,0.0,56
86,M,56,237.0,132.0,56
87,P,24,235.0,0.0,74
88,M,74,232.0,22.0,74
89,P,18,175.0,0.0,4
90,M,4,176.0,65.0,4
91,P,15,145.0,0.0,71
92,M,71,143.0,121.0,71
93,P,8,75.0,0.0,30
94,M,30,80.0,226.0,30
95,P,7,65.0,0.0,15
96,M,15,60.0,292.0,15
97,P,2,15.0,0.0,39
98,M,39,18.0,87.0,39
99,P,3,25.0,0.0,23
100,M,23,29.0,167.0,23
101,P,3,25.0,0.0,9
102,M,9,260.0,276.0,9
103,P,25,245.0,0.0,61
104,M,61,249.0,104.0,61
105,P,22,215.0,0.0,50
106,M,50,214.0,212.0,50
107,P,19,185.0,0.0,20
108,M,20,185.0,233.0,20
109,P,19,185.0,0.0,68
110,M,68,193.0,196.0,68
111,P,19,185.0,0.0,17
112,M,17,175.0,118.0,17
113,P,18,175.0,0.0,53
114,M,53,174.0,10.0,53
115,P,12,115.0,0.0,19
116,M,19,110.0,76.0,19
117,P,10,95.0,0.0,47
118,M,47,93.0,172.0,47
119,P,8,75.0,0.0,69
120,M,69,94.0,281.0,69
121,P,7,65.0,0.0,49
122,M,49,61.0,137.0,49
123,P,4,35.0,0.0,34
124,M,34,40.0,198.0,34
125,P,5,45.0,0.0,3
126,M,3,45.0,199.0,3
127,P,6,55.0,0.0,21
128,M,21,241.0,261.0,21
129,P,21,205.0,0.0,16
130,M,16,199.0,256.0,16
131,P,18,175.0,0.0,90
132,M,90,172.0,101.0,90
133,P,16,155.0,0.0,7
134,M,7,151.0,123.0,7
135,P,10,95.0,0.0,72
136,M,72,110.0,247.0,72
137,P,4,35.0,0.0,28
138,M,28,40.0,64.0,28
139,P,4,35.0,0.0,36
140,M,36,32.0,123.0,36
141,P,2,15.0,0.0,48
142,M,48,18.0,99.0,48
143,P,4,35.0,0.0,1
144,M,1,45.0,258.0,1
145,P,5,45.0,0.0,70
146,M,70,45.0,215.0,70
147,P,6,55.0,0.0,85
148,M,85,178.0,288.0,85
149,P,20,195.0,0.0,75
150,M,75,199.0,29.0,75
151,P,21,205.0,0.0,18
152,M,18,201.0,137.0,18
153,P,20,195.0,0.0,25
154,M,25,194.0,48.0,25
155,P,17,165.0,0.0,78
156,M,78,167.0,92.0,78
157,P,15,145.0,0.0,8
158,M,8,147.0,199.0,8
159,P,14,135.0,0.0,62
160,M,62,131.0,114.0,62
161,P,9,85.0,0.0,29
162,M,29,83.0,266.0,29
163,P,8,75.0,0.0,40
164,M,40,104.0,265.0,40
165,P,11,105.0,0.0,10
166,M,10,107.0,240.0,10
167,P,11,105.0,0.0,5
168,M,5,111.0,195.0,5
169,P,9,85.0,0.0,57
170,M,57,88.0,39.0,57
171,P,9,85.0,0.0,82
172,M,82,88.0,47.0,82
173,P,9,85.0,0.0,65
174,M,65,83.0,120.0,65
175,P,3,25.0,0.0,46
176,M,46,20.0,182.0,46
177,P,2,15.0,0.0,13
178,M,13,17.0,126.0,13
179,P,1,5.0,0.0,14
180,M,14,288.0,287.0,14
181,P,26,255.0,0.0,52
182,M,52,260.0,214.0,52
183,P,23,225.0,0.0,83
184,M,83,238.0,188.0,83
185,P,23,225.0,0.0,41
186,M,41,219.0,245.0,41
187,P,21,205.0,0.0,44
188,M,44,204.0,207.0,44
189,P,20,195.0,0.0,93
190,M,93,193.0,25.0,93
191,P,16,155.0,0.0,67
192,M,67,151.0,154.0,67
193,P,14,135.0,0.0,92
194,M,92,134.0,148.0,92
195,P,13,125.0,0.0,27
196,M,27,122.0,136.0,27
197,P,8,75.0,0.0,26
198,M,26,72.0,266.0,26
199,P,6,55.0,0.0,51
200,M,51,215.0,262.0,51
